127.0.0.1 - - [01/Mar/2021:13:23:00 +0700] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [01/Mar/2021:13:23:02 +0700] "GET /jsptintuc/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Mar/2021:13:23:03 +0700] "GET /jsptintuc/admin-home HTTP/1.1" 200 7592
0:0:0:0:0:0:0:1 - - [01/Mar/2021:13:23:03 +0700] "GET /jsptintuc/template/admin/assets/css/ace.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Mar/2021:13:23:03 +0700] "GET /jsptintuc/template/admin/font-awesome/4.5.0/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Mar/2021:13:23:03 +0700] "GET /jsptintuc/template/admin/assets/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Mar/2021:13:23:03 +0700] "GET /jsptintuc/template/admin/assets/js/ace-extra.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Mar/2021:13:23:03 +0700] "GET /jsptintuc/template/admin/js/jquery-2.2.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Mar/2021:13:23:03 +0700] "GET /jsptintuc/template/admin/assets/js/jquery.2.1.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Mar/2021:13:23:03 +0700] "GET /jsptintuc/template/paging/jquery.twbsPagination.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Mar/2021:13:23:03 +0700] "GET /jsptintuc/template/admin/assets/js/jquery-ui.custom.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Mar/2021:13:23:03 +0700] "GET /jsptintuc/template/admin/assets/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Mar/2021:13:23:03 +0700] "GET /jsptintuc/template/admin/assets/js/jquery.ui.touch-punch.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Mar/2021:13:23:03 +0700] "GET /jsptintuc/template/admin/assets/js/jquery.easypiechart.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Mar/2021:13:23:03 +0700] "GET /jsptintuc/template/admin/assets/js/jquery.sparkline.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Mar/2021:13:23:03 +0700] "GET /jsptintuc/template/admin/assets/js/jquery.flot.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Mar/2021:13:23:03 +0700] "GET /jsptintuc/template/admin/assets/js/ace-elements.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Mar/2021:13:23:03 +0700] "GET /jsptintuc/template/admin/assets/js/jquery.flot.pie.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Mar/2021:13:23:03 +0700] "GET /jsptintuc/template/admin/assets/js/ace.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Mar/2021:13:23:03 +0700] "GET /jsptintuc/template/admin/assets/js/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Mar/2021:13:23:03 +0700] "GET /jsptintuc/template/admin/assets/js/jquery.flot.resize.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Mar/2021:13:23:03 +0700] "GET /favicon.ico HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [01/Mar/2021:13:23:06 +0700] "GET /jsptintuc/admin-new?page=1&maxPageItem=2 HTTP/1.1" 200 9792
0:0:0:0:0:0:0:1 - - [01/Mar/2021:13:23:07 +0700] "GET /jsptintuc/admin-new?page=2&maxPageItem=2 HTTP/1.1" 200 9795
0:0:0:0:0:0:0:1 - - [01/Mar/2021:13:23:08 +0700] "GET /jsptintuc/admin-new?page=3&maxPageItem=2 HTTP/1.1" 200 9804
0:0:0:0:0:0:0:1 - - [01/Mar/2021:13:23:09 +0700] "GET /jsptintuc/admin-new?page=4&maxPageItem=2 HTTP/1.1" 200 9471
0:0:0:0:0:0:0:1 - - [01/Mar/2021:13:23:10 +0700] "GET /jsptintuc/admin-new?page=1&maxPageItem=2 HTTP/1.1" 200 9792
0:0:0:0:0:0:0:1 - - [01/Mar/2021:13:23:20 +0700] "GET /jsptintuc/admin-new?page=2&maxPageItem=2 HTTP/1.1" 200 9795
0:0:0:0:0:0:0:1 - - [01/Mar/2021:13:23:20 +0700] "GET /jsptintuc/admin-new?page=3&maxPageItem=2 HTTP/1.1" 200 9804
0:0:0:0:0:0:0:1 - - [01/Mar/2021:13:23:21 +0700] "GET /jsptintuc/admin-new?page=4&maxPageItem=2 HTTP/1.1" 200 9471
0:0:0:0:0:0:0:1 - - [01/Mar/2021:13:23:22 +0700] "GET /jsptintuc/admin-new?page=1&maxPageItem=2 HTTP/1.1" 200 9792
0:0:0:0:0:0:0:1 - - [01/Mar/2021:13:23:22 +0700] "GET /jsptintuc/admin-new?page=2&maxPageItem=2 HTTP/1.1" 200 9795
0:0:0:0:0:0:0:1 - - [01/Mar/2021:13:23:23 +0700] "GET /jsptintuc/admin-new?page=3&maxPageItem=2 HTTP/1.1" 200 9804
0:0:0:0:0:0:0:1 - - [01/Mar/2021:13:23:23 +0700] "GET /jsptintuc/admin-new?page=4&maxPageItem=2 HTTP/1.1" 200 9471
0:0:0:0:0:0:0:1 - - [01/Mar/2021:13:23:24 +0700] "GET /jsptintuc/admin-new?page=1&maxPageItem=2 HTTP/1.1" 200 9792
0:0:0:0:0:0:0:1 - - [01/Mar/2021:13:23:24 +0700] "GET /jsptintuc/admin-new?page=2&maxPageItem=2 HTTP/1.1" 200 9795
0:0:0:0:0:0:0:1 - - [01/Mar/2021:13:23:25 +0700] "GET /jsptintuc/admin-new?page=3&maxPageItem=2 HTTP/1.1" 200 9804
